"guid","Vertical Section","Vertical Sub Category","Prefix","Number","Vertical Article Tags","Vertical Link"
"VIE001","","Vietnam War","","","","http://www.history.co.uk/explore-history/history-of-america/empire-of-liberty.html",
"TDIH31","December
November
October
September
August
July
June
May
April
March
February
January","31","","","","",
"TDIH30","December
November
October
September
August
July
June
May
April
March
February
January","30","","","","",
"TDIH29","December
November
October
September
August
July
June
May
April
March
February
January","29","","","","",
"TDIH28","December
November
October
September
August
July
June
May
April
March
February
January","28","","","","",
"TDIH27","December
November
October
September
August
July
June
May
April
March
February
January","27","","","","",
"TDIH26","December
November
October
September
August
July
June
May
April
March
February
January","26","","","","",
"TDIH25","December
November
October
September
August
July
June
May
April
March
February
January","25","","","","",
"TDIH24","December
November
October
September
August
July
June
May
April
March
February
January","24","","","","",
"TDIH23","December
November
October
September
August
July
June
May
April
March
February
January","23","","","","",
"TDIH22","December
November
October
September
August
July
June
May
April
March
February
January","22","","","","",
"TDIH21","December
November
October
September
August
July
June
May
April
March
February
January","21","","","","",
"TDIH20","December
November
October
September
August
July
June
May
April
March
February
January","20","","","","",
"TDIH19","December
November
October
September
August
July
June
May
April
March
February
January","19","","","","",
"TDIH18","December
November
October
September
August
July
June
May
April
March
February
January","18","","","","",
"TDIH17","December
November
October
September
August
July
June
May
April
March
February
January","17","","","","",
"TDIH16","December
November
October
September
August
July
June
May
April
March
February
January","16","","","","",
"TDIH15","December
November
October
September
August
July
June
May
April
March
February
January","15","","","","",
"TDIH14","December
November
October
September
August
July
June
May
April
March
February
January","14","","","","",
"TDIH13","December
November
October
September
August
July
June
May
April
March
February
January","13","","","","",
"TDIH12","December
November
October
September
August
July
June
May
April
March
February
January","12","","","","",
"TDIH11","December
November
October
September
August
July
June
May
April
March
February
January","11","","","","",
"TDIH10","December
November
October
September
August
July
June
May
April
March
February
January","10","","","","",
"TDIH09","December
November
October
September
August
July
June
May
April
March
February
January","9","","","","",
"TDIH08","December
November
October
September
August
July
June
May
April
March
February
January","8","","","","",
"TDIH07","December
November
October
September
August
July
June
May
April
March
February
January","7","","","","",
"TDIH06","December
November
October
September
August
July
June
May
April
March
February
January","6","","","","",
"TDIH05","December
November
October
September
August
July
June
May
April
March
February
January","5","","","","",
"TDIH04","December
November
October
September
August
July
June
May
April
March
February
January","4","","","","",
"TDIH03","December
November
October
September
August
July
June
May
April
March
February
January","3","","","","",
"TDIH02","December
November
October
September
August
July
June
May
April
March
February
January","2","","","","",
"TDIH01","December
November
October
September
August
July
June
May
April
March
February
January","1","","","","",
"LON002","","Longform","","","","",
"PRO001","Promo","Promo","","","","",
"NEW001","","New Clips","NEW","1","","http://www.history.co.uk/shows/pawn-stars/season-seven-clips",
"MAN001","","MANKIND The Story of All of Us","MAN","1","Stephen Fry, Mankind","http://www.history.co.uk/shows/mankind",
"AAM001","","A&amp;E uk_history brightcove account","AAM","1","","http://www.history.co.uk/ae_old",
"ROM001","History of London","Roman London","ROM","1","port, Thames, Roman Britain, London Bridge, trade, Boudica, Trading post, Londinium, Roman Empire, Roman","http://www.history.co.uk/explore-history/history-of-london/the-port-of-Londinium",
"RIS001","History of London","Rise and Fall of Roman London","RIS","1","Temple, Palace, London wall, Londinium, Britannia, Bathhouses, Basilica, Ampitheatre, Boudica, Forum","http://www.history.co.uk/explore-history/history-of-london/the-rise-and-fall-of-londinium",
"THE004","History of London","The Guilds and Livery Companies","THE","4","","http://www.history.co.uk/explore-history/history-of-london/the-guilds-and-livery-companies",
"SOU001","History of London","Southwark - Brothels and Bear-Baiting","SOU","1","bull, red-light, Shakespeare, Southwark, brothel, bear, Bankside, Globe, baiting, theatre","http://www.history.co.uk/explore-history/history-of-london/let-us-entertain-you",
"THE003","History of London","The Great Fire of London","THE","3","1666 , Wren, plague, Monument, pudding, St Paul’s, great, Christopher, fire, cathedral","http://www.history.co.uk/explore-history/history-of-london/london-rises-from-the-ashes",
"LON001","History of London","London&#039;s Coffee Houses ","LON","1","Christie’s , Dryden, King Charles II, Coffee, Cornhill, Sir Isaac Newton, Coffee house, Lloyd’s of London, Sotheby’s , The Stock Exchange","http://www.history.co.uk/explore-history/history-of-london/coffee-houses-london-s-penny-universities",
"INV001","History of London","Invasion of the Bodysnatchers","INV","1","Burke, grave, anatomy, resurrectionist, death, body snatcher, bodysnatcher, corpse, body, grave robber, Hare, cadaver, anatomist, surgeon","http://www.history.co.uk/explore-history/history-of-london/invasion-of-the-bodysnatchers",
"FOR001","History of London","Formation of the Metropolitan Police","FOR","1","uniform, city, bobby, police, Scotland Yard, river, Metropolitan, peeler, bobbies, Robert Peel","http://www.history.co.uk/explore-history/history-of-london/putting-bobby-on-the-beat",
"CHA002","History of London","Charles Dickens - Victorian Author","CHA","2","","http://www.history.co.uk/explore-history/history-of-london/what-the-dickens",
"WW2001","History of London","WW2 - The Blitz hits London","WW2","1","Blitz, City, lightning, air raid, bomber, German, docks, bomb, St Paul’s","http://www.history.co.uk/explore-history/history-of-london/the-blitz-the-lightning-war-hits-London",
"BUC001","History of London","Buckingham Palace","BUC","1","buckingham house, queen charlotte, the duke of edinburgh, buckingham palace, changing of the guard, george iv, edmund blore, queen elizabeth, queen victoria, george iii, john nash, marble arch, sir aston webb","http://www.history.co.uk/explore-history/history-of-london/buckingham-palace",
"77L001","History of London","7/7 London Bombings","77L","1","tube, bomb, terrorism, extremism, terrorist, london, bus, underground","http://www.history.co.uk/explore-history/history-of-london/london-bombings",
"JAM001","History of America","Jamestown","JAM","1","John Rolfe, Spain, Fish, Christopher Columbus, Jacksonville, Pocahontas, Jamestown, 1564, George Percy, Native American, 1492, New World, Atlantic","http://www.history.co.uk/explore-history/history-of-america/riches",
"PUR001","History of America","Puritans","PUR","1","Charles II, Provincetown, William Bradford, 1620, Native American, 1621, William Penn, Church, Puritan, plantation, England, Mayflower, Rhode Island","http://www.history.co.uk/explore-history/history-of-america/religion",
"SLA001","History of America","Slavery begins in America","SLA","1","servant, slave, Virginia, Free willers, slave triangle, slavery, Redemptioners, cotton, Anthony  Johnson, sugar, Indenture","http://www.history.co.uk/explore-history/history-of-america/servants-and-slaves",
"EUR001","History of America","European Invasion","EUR","1","Thanksgiving, tobacco, Aztec, Indian, smallpox, Roger Williams, pilgrim, John Smith, Inca, Native American","http://www.history.co.uk/explore-history/history-of-america/invasion",
"DEC001","History of America","Declaration of Independence","DEC","1","King George III, George Washington, Benjamin Franklin, 4th July, British, New York, War of Independence, Declaration of Independence","http://www.history.co.uk/explore-history/history-of-america/declaration",
"BAT004","History of America","Battle of Yorktown","BAT","4","Washington, Anna Smith Strong, Robert Townsend , red coat, president, Joseph Plum Martin, revolution","http://www.history.co.uk/explore-history/history-of-america/spies-and-allies",
"GOL001","History of America","Gold rush","GOL","1","Abraham Lincoln, gold fever, trade, Davy Crockett, San Fransico, mississippi river, gold, gold rush","http://www.history.co.uk/explore-history/history-of-america/gold",
"EMA001","History of America","Emancipation Proclamation","EMA","1","Sherman, Colonisation, Proclamation, Colonization, Emancipation, Chickamauga, Battle, Preliminary, Cotton, Chattanooga, Montgomery, Meigs, William","http://www.history.co.uk/explore-history/history-of-america/one-last-chance",
