"Video Name","Video Description","Brightcove ID","Vertical Section","Verticals","Show","Season Number","Thumbnail","thePlatform guid","thePlatform PID","Geo Restriction","People","Keywords","Keywords Text","Categories","Transcript/quote","link","Longform","Date Created","Duration","Locales","Encoding","filename"
"Starożytni kosmici 5","„Starożytni kosmici” powracają w zupełnie nowym cyklu!","","","","Ancient Aliens","5","","","","All","","","","Promo","","","No","","","gb","","",
"IRT 5: Meet Tony","Tony Molesky trained as a teacher but loves being a truck driver.","1778536179001","","","Ice Road Truckers","","<img src=""http://dlaetniuk.edgesuite.net/AETNI_UK_History/1/131/22204771001_1779243886001_ari-origin29-arc-179-1344597095623.jpg"" />","bc_1778536179001","_tshvcpfYmCf","All","","","","","","","No","28/03/2013 21:23","93.134","pl, ro","","",
"MANKIND The Story of All of Us: Penicillin","Imagine a world before antibiotics. The bacteria were winning.","2125921073001","","","MANKIND the story of all of us","","<img src=""http://dlaetniuk.edgesuite.net/AETNI_UK_History/1/447/22204771001_2125983476001_vs-5107c06fe4b0f6bec62ac7a8-1094249756001.jpg"" />","bc_2125921073001","8Iop9F2mWWwj","All","","","","","","","No","28/03/2013 20:36","143.012","","","",
"MANKIND The Story of All of Us: Salt","At certain times in history salt was worth more than gold","1877637550001","","","MANKIND the story of all of us","","<img src=""http://dlaetniuk.edgesuite.net/AETNI_UK_History/1/423/22204771001_1877940350001_vs-506d937ceaccb0e4255c5823-1592194037001.jpg"" />","bc_1877637550001","4bzAeKj49Sqd","All","","","","","","","No","28/03/2013 20:35","150.698","pl, ro","","",
"MANKIND The Story of All of Us: The Vikings","The Vikings were fearless explorers from Russia to the New World.","2125921084001","","","MANKIND the story of all of us","","<img src=""http://dlaetniuk.edgesuite.net/AETNI_UK_History/1/447/22204771001_2126027970001_961896998-140-1359469297864.jpg"" />","bc_2125921084001","4EhGTFpAZScu","All","","","","","","","No","28/03/2013 20:35","177.262","pl, ro","","",
"MANKIND The Story of All of Us: Industrial Revolution","Richard Arkwright’s spinning machine turn Britain into the centre of the industrial revolution.","2125980921001","","","MANKIND the story of all of us","","<img src=""http://dlaetniuk.edgesuite.net/AETNI_UK_History/1/423/22204771001_2148871251001_961896998-139-1360250370769.jpg"" />","bc_2125980921001","_1HQM_lKVIWa","All","","","","","","","No","28/03/2013 20:35","170.200","pl, ro","","",
"MANKIND The Story of All of Us: Vulcanised Rubber","Rubber is everywhere in the modern world. But it had to be stabilised it so its industrial potential could be realised.","2125897589001","","","MANKIND the story of all of us","","<img src=""http://dlaetniuk.edgesuite.net/AETNI_UK_History/1/971/22204771001_2173925771001_961896998-135-1361207280710.jpg"" />","bc_2125897589001","JKSAf3X0ZDKR","All","","","","","","","No","28/03/2013 20:36","167.277","pl, ro","","",
"MANKIND The Story of All of Us: Pilgrims in America","The Pilgrims would not have survived in the New World without the help of the Native Americans.","2125921089001","","","MANKIND the story of all of us","","<img src=""http://dlaetniuk.edgesuite.net/AETNI_UK_History/1/947/22204771001_2125986673001_vs-5107c1b6e4b0f6bec62ac836-590065938001.jpg"" />","bc_2125921089001","k5WVamiFZ7mz","All","","","","","","","No","28/03/2013 20:35","157.780","pl, ro","","",
"MANKIND The Story of All of Us: The Scientific Revolution","The scientific revolution in Europe, which challenged myths and dogma, was kick started by alchemy.","2125981525001","","","MANKIND the story of all of us","","<img src=""http://dlaetniuk.edgesuite.net/AETNI_UK_History/1/947/22204771001_2148871161001_961896998-162-1360247699480.jpg"" />","bc_2125981525001","IWiFZg2jLPEU","All","","","","","","","No","28/03/2013 20:35","173.734","pl, ro","","",
"MANKIND The Story of All of Us: Fall of Rome","Did Rome just get too big to survive?","1877665706001","","","MANKIND the story of all of us","","<img src=""http://dlaetniuk.edgesuite.net/AETNI_UK_History/1/423/22204771001_2018796712001_961896998-135-1354879830132.jpg"" />","bc_1877665706001","XYcGkN665Vde","All","","","","","","","No","28/03/2013 20:35","167.934","pl, ro","","",
"MANKIND The Story of All of Us: The Fall of Constantinople","Find out how the fall of Constantinople directly precipitated Columbus’s historic journey to the Americas.","1896868529001","","","MANKIND the story of all of us","","<img src=""http://dlaetniuk.edgesuite.net/AETNI_UK_History/1/971/22204771001_1924491464001_ari-origin29-arc-26530-1351175878824.jpg"" />","bc_1896868529001","UH_EWFPSrN7Z","All","","","","","","","No","28/03/2013 20:35","191.124","pl, ro","","",
"MANKIND The Story of All of Us: Taming the Horse","Without the horse, the Mongol nation wouldn’t have been the overwhelming force it became.","1853808601001","","","MANKIND the story of all of us","","<img src=""http://dlaetniuk.edgesuite.net/AETNI_UK_History/1/423/22204771001_1858588523001_ari-origin29-arc-164-1348498577076.jpg"" />","bc_1853808601001","i5emVJe2R24b","All","","","","","","","No","28/03/2013 20:35","150.605","pl, ro","","",
